rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
277491;3087.762775;302;254;69.3124;2;0.0726653;19;301.142;254.86;0;23;1;1;0.173865;-0.348224;-0.478705;0.180462;-0.35008;-0.476519;1;-0.38025;0.0957719;-0.125688;1;-0.511222;-0.33394;0.647748;0.0013717;fp_not_a_fp;-1;0.205602;
277492;3087.773904;304;252;69.3149;2.82843;0.0234089;24;305.225;252.827;0;24;1;1;0.171135;-0.345919;-0.48023;0.176445;-0.348505;-0.477897;1;-0.366435;0.11208;-0.127872;1;-0.0439878;0.367571;0.360997;0.0019398;fp_not_a_fp;-1;0.205617;
277493;3087.785031;306;252;68.7445;2;0.0634502;29;307.073;250.677;0;25;1;1;0.169789;-0.348772;-0.484226;0.173497;-0.348298;-0.47999;1;-0.329417;0.0718152;-0.158267;1;1.25445;-0.797254;-0.541329;0.00138303;fp_not_a_fp;-1;0.205616;
277494;3087.796158;310;250;69.0254;2.82843;0.0149608;27;308.814;250.825;0;26;1;1;0.163609;-0.345034;-0.483815;0.1696;-0.346987;-0.481744;1;-0.342944;0.0888643;-0.145938;1;0.653258;-0.0411418;-0.495237;0.00194793;fp_not_a_fp;-1;0.2056;
277495;3087.807286;312;248;69.1694;2.82843;0.0194241;26;312.907;248.744;0;27;1;1;0.160539;-0.342018;-0.484353;0.166268;-0.345436;-0.483156;1;-0.339976;0.119146;-0.128394;1;0.904818;0.525051;-0.0608235;0.00194388;fp_not_a_fp;-1;0.205604;
277496;3087.818413;316;246;68.7518;2.82843;0.0173605;28;314.8;246.615;0;28;1;1;0.156003;-0.341767;-0.488861;0.162485;-0.344398;-0.485314;1;-0.347383;0.119341;-0.156438;1;0.428044;0.163066;-0.641841;0.00195569;fp_not_a_fp;-1;0.205579;
277497;3087.829541;318;244;68.8627;2.82843;0.0144229;29;318.918;244.494;0;29;1;1;0.153011;-0.338909;-0.489626;0.158291;-0.341932;-0.486664;1;-0.340437;0.136964;-0.156843;1;-0.247598;1.46366;0.0319668;0.00195254;fp_not_a_fp;-1;0.205587;
277498;3087.840669;322;244;68.6225;2.82843;0.0243003;28;320.862;242.344;0;30;1;1;0.148005;-0.340062;-0.491362;0.154389;-0.340689;-0.488551;1;-0.351523;0.113562;-0.156908;1;-0.192737;0.55488;-0.246503;0.00195937;fp_not_a_fp;-1;0.205572;
277499;3087.851796;324;242;68.5989;2.82843;0.0150434;30;324.966;242.532;0;31;1;1;0.145304;-0.337862;-0.493089;0.150581;-0.33965;-0.490735;1;-0.342227;0.114623;-0.156719;1;-0.0505592;-0.101562;-0.636388;0.00196005;fp_not_a_fp;-1;0.205598;
277500;3087.862923;328;242;68.5269;4;0.0726868;25;326.888;240.542;0;32;1;1;0.139907;-0.338183;-0.49363;0.146557;-0.338754;-0.491927;1;-0.356598;0.0967536;-0.142852;1;-0.207012;-0.507442;0.305247;0.00277484;fp_not_a_fp;-1;0.205572;
