rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
303549;3377.641227;782;274;26.4932;2.82843;0.1265;5;782.869;276.155;0;1;1;1;-1.30547;-0.912366;-1.22441;-1.35146;-0.926883;-1.25417;1;1.7987;0.124568;1.18901;1;29.9021;18.9807;23.1478;0.00507623;fp_not_a_fp;-1;0.242542;
303550;3377.652354;782;276;26.1826;4;0.125372;11;779.118;275.828;0;2;1;1;-1.32111;-0.929284;-1.23499;-1.3271;-0.921319;-1.23665;1;1.49692;0.00272832;0.975423;1;23.0384;16.3494;18.5469;0.00726407;fp_not_a_fp;-1;0.242533;
303551;3377.663481;782;276;26.1826;4;0.125372;11;779.482;277.72;1;0;1;1;-1.30305;-0.928245;-1.223;-1.31581;-0.923242;-1.23032;1;1.38824;-0.0360547;0.900106;1;3.79808;5.46306;2.75984;-1;fp_not_a_fp;-1;0.24248;
303552;3377.674608;774;278;26.2184;2.82843;0.172106;10;777.098;279.405;0;1;1;1;-1.29044;-0.934601;-1.22903;-1.30502;-0.926124;-1.22786;1;1.31082;-0.120348;0.685097;1;-5.15017;-0.71911;-8.09727;0.00512947;fp_not_a_fp;-1;0.24249;
303553;3377.685735;772;280;26.534;0;0.144148;4;771.238;279.443;0;2;1;1;-1.26807;-0.929622;-1.21043;-1.29567;-0.930438;-1.22436;1;1.36804;-0.082756;0.722033;1;-9.67622;-4.65808;-10.4918;0;fp_not_a_fp;-1;0.242488;
303554;3377.696862;766;282;25.502;0;0.199058;3;769.171;281.473;0;3;1;1;-1.29717;-0.973885;-1.25511;-1.28969;-0.941588;-1.22939;1;0.8836;-0.56407;0.133045;1;-13.7802;-12.7349;-18.9265;0;fp_not_a_fp;-1;0.242478;
303555;3377.707990;766;282;26.5064;2;0.0252065;7;762.785;283.482;0;4;1;1;-1.24802;-0.936983;-1.20755;-1.27593;-0.943773;-1.22553;1;1.1341;-0.268044;0.417801;1;-5.71045;-5.21284;-10.8367;0.00358765;fp_not_a_fp;-1;0.242509;
303556;3377.719117;766;282;26.5064;2;0.0252065;7;762.906;283.349;1;0;1;1;-1.23577;-0.940283;-1.20358;-1.26226;-0.945193;-1.21917;1;1.23338;-0.149346;0.527737;1;-1.7405;-0.652138;-3.53619;-1;fp_not_a_fp;-1;0.242507;
303557;3377.730243;758;284;26.8273;6.32456;0.0560517;28;759.942;284.64;0;1;1;1;-1.20489;-0.932212;-1.18893;-1.24646;-0.94584;-1.21379;1;1.47116;0.0112786;0.673733;1;2.3165;2.11223;-1.08576;0.0112095;fp_not_a_fp;-1;0.24254;
303558;3377.741371;756;284;27.4763;2.82843;0.0480789;9;754.747;285.178;0;2;1;1;-1.1695;-0.910312;-1.16077;-1.21455;-0.929947;-1.19021;1;1.78733;0.327249;0.970925;1;20.3042;20.0253;18.8247;0.00489458;fp_not_a_fp;-1;0.242514;
